Posi	Sonar	Lidar	Fusion
1.05	67.35	80	69.13
1.11	65.24	80	67.32
1.18	67.35	80	69.13
1.24	80	80	80.0
1.31	67.35	44.74	64.17
1.37	63.14	30.47	58.55
1.44	80	26.04	72.42
1.51	71.56	24.28	64.91
1.57	65.24	26.41	59.79
1.64	73.66	29.13	67.4
1.7	71.56	31.97	65.99
1.77	63.14	35.37	59.24
1.83	61.04	40.1	58.09
1.9	63.14	45.42	60.65
1.96	48.41	52.3	48.96
2.03	48.41	61.68	50.27
2.09	46.3	52.18	47.13
2.16	46.3	36.27	44.89
2.23	46.3	38.95	45.27
2.29	46.3	43.61	45.92
2.36	48.41	45.03	47.93
2.42	46.3	52.18	47.13
2.49	46.3	51.55	47.04
2.55	46.3	51.17	46.99
2.62	46.3	41.75	45.66
2.68	48.41	34.45	46.44
2.75	54.72	30.86	51.37
2.81	48.41	34.15	46.4
2.88	46.3	38.35	45.19
2.95	48.41	42.18	47.53
3.01	23.15	40.91	25.65
3.08	23.15	46.96	26.5
3.14	18.94	42.7	22.28
3.21	21.05	42.09	24.0
3.27	21.05	40.1	23.73
3.34	21.05	44.93	24.4
3.4	35.78	48.93	37.63
3.47	23.15	43.33	25.99
3.53	23.15	39.48	25.45
3.6	21.05	43.98	24.27
3.67	52.62	29.04	49.3
3.6	52.62	31.2	49.61
3.53	63.14	10.99	55.81
3.47	63.14	10.48	55.74
3.4	52.62	11.0	46.77
3.34	50.51	11.48	45.02
3.27	23.15	12.06	21.59
3.21	21.05	12.73	19.88
3.14	21.05	13.36	19.97
3.08	23.15	14.0	21.86
3.01	23.15	14.93	22.0
2.95	21.05	15.81	20.31
2.88	21.05	16.73	20.44
2.81	21.05	17.89	20.6
2.75	23.15	19.09	22.58
2.68	23.15	20.57	22.79
2.62	48.41	22.08	44.71
2.55	75.77	23.84	68.47
2.49	54.72	26.04	50.69
2.42	58.93	28.47	54.65
2.36	48.41	31.2	45.99
2.29	46.3	34.81	44.69
2.23	46.3	38.65	45.23
2.16	48.41	43.88	47.77
2.09	46.3	49.73	46.78
2.03	48.41	51.67	48.87
1.96	58.93	50.93	57.81
1.9	48.41	53.48	49.12
1.83	46.3	51.17	46.99
1.77	46.3	49.97	46.82
1.7	48.41	59.51	49.97
1.64	48.41	70.24	51.48
1.57	61.04	80	63.7
1.51	61.04	80	63.7
1.44	61.04	63.64	61.4
1.37	58.93	63.1	59.52
1.31	61.04	58.87	60.73
1.24	63.14	68.95	63.96
1.18	69.45	27.37	63.54
1.11	65.24	16.52	58.4
1.05	69.45	16.0	61.94
0.98	73.66	17.03	65.7
0.92	67.35	18.22	60.44
0.85	65.24	19.6	58.83
0.79	67.35	20.98	60.83
0.72	65.24	22.72	59.27
0.65	67.35	24.53	61.33
0.59	63.14	26.9	58.05
0.52	67.35	29.39	62.01
0.46	73.66	32.18	67.83
0.39	67.35	36.34	62.99
0.33	65.24	40.66	61.79
0.26	67.35	46.23	64.38
0.2	63.14	53.88	61.84
0.13	69.45	62.21	68.44
0.07	63.14	74.88	64.79
0.0	67.35	80	69.13
-0.07	71.56	80	72.75
-0.13	67.35	48.81	64.74
-0.2	63.14	55.13	62.01
-0.26	52.62	36.07	50.29
-0.33	52.62	40.5	50.91
-0.39	50.51	45.82	49.85
-0.46	52.62	53.22	52.7
-0.52	52.62	62.03	53.94
-0.46	52.62	74.15	55.64
-0.39	50.51	80	54.66
-0.33	50.51	80	54.66
-0.26	50.51	80	54.66
-0.2	52.62	80	56.47
-0.13	50.51	80	54.66
-0.07	52.62	80	56.47
0.0	50.51	80	54.66
0.07	80	80	80.0
0.13	67.35	80	69.13
0.2	73.66	80	74.55
0.26	80	80	80.0
0.33	80	80	80.0
0.39	80	31.3	73.16
0.46	80	33.56	73.47
0.52	80	37.15	73.98
0.59	80	42.09	74.67
0.65	80	48.03	75.51
0.72	71.56	56.13	69.39
0.79	67.35	64.94	67.01
0.85	65.24	78.73	67.14
0.92	67.35	69.38	67.63
0.98	80	62.56	77.55
1.05	69.45	62.74	68.51
1.11	80	64.01	77.75
1.18	80	68.53	78.39
1.24	80	80	80.0
1.31	80	25.58	72.35
1.37	80	28.26	72.73
1.44	80	21.92	71.84
1.51	71.56	21.97	64.59
1.57	63.14	23.87	57.62
1.64	71.56	25.93	65.15
1.7	61.04	28.31	56.43
1.77	61.04	31.05	56.82
1.83	58.93	34.57	55.51
1.9	61.04	38.87	57.92
1.96	48.41	43.79	47.76
2.03	48.41	50.56	48.71
2.09	48.41	41.75	47.47
2.16	46.3	40.42	45.48
2.23	46.3	36.4	44.91
2.29	46.3	40.75	45.52
2.36	48.41	45.82	48.04
2.42	46.3	52.56	47.18
2.49	46.3	51.8	47.07
2.55	46.3	48.93	46.67
2.62	46.3	41.66	45.65
2.68	46.3	35.56	44.79
2.75	56.83	35.94	53.89
2.81	46.3	40.5	45.49
2.88	67.35	46.13	64.37
2.95	77.87	42.18	72.85
3.01	23.15	42.53	25.87
3.08	21.05	49.04	24.98
3.14	21.05	40.99	23.85
3.21	21.05	41.24	23.89
3.27	21.05	39.1	23.58
3.34	21.05	43.98	24.27
3.4	21.05	47.17	24.72
3.47	21.05	42.7	24.09
3.53	23.15	42.53	25.87
3.6	23.15	45.23	26.25
3.67	52.62	27.81	49.13
3.6	52.62	30.86	49.56
3.53	56.83	11.17	50.41
3.47	58.93	10.74	52.16
3.4	65.24	11.2	57.65
3.34	52.62	11.83	46.88
3.27	23.15	12.44	21.65
3.21	21.05	13.13	19.93
3.14	21.05	13.8	20.03
3.08	35.78	14.52	32.79
3.01	21.05	15.44	20.26
2.95	21.05	16.45	20.4
2.88	21.05	17.37	20.53
2.81	21.05	18.65	20.71
2.75	21.05	19.88	20.88
2.68	23.15	21.45	22.91
2.62	52.62	23.09	48.47
2.55	46.3	24.96	43.3
2.49	54.72	27.29	50.87
2.42	58.93	30.09	54.88
2.36	46.3	33.28	44.47
2.29	46.3	37.08	45.01
2.23	46.3	41.32	45.6
2.16	48.41	45.62	48.02
2.09	46.3	47.81	46.52
2.03	46.3	54.02	47.39
1.96	46.3	46.23	46.29
1.9	48.41	50.93	48.76
1.83	48.41	40.34	47.27
1.77	46.3	39.48	45.34
1.7	48.41	44.55	47.86
1.64	48.41	51.55	48.85
1.57	69.45	59.83	68.1
1.51	67.35	71.35	67.91
1.44	69.45	75.62	70.32
1.37	69.45	77.41	70.57
1.31	73.66	72.96	73.56
1.24	67.35	73.67	68.24
1.18	67.35	50.81	65.02
1.11	67.35	51.92	65.18
1.05	65.24	58.39	64.28
0.98	65.24	67.7	65.59
0.92	63.14	69.16	63.99
0.85	65.24	73.67	66.43
0.79	63.14	62.38	63.03
0.72	63.14	67.3	63.72
0.65	65.24	63.46	64.99
0.59	63.14	64.57	63.34
0.52	63.14	61.68	62.94
0.46	63.14	59.03	62.56
0.39	63.14	59.51	62.63
0.33	63.14	61.51	62.91
0.26	63.14	54.16	61.88
0.2	63.14	48.48	61.08
0.13	63.14	49.27	61.19
0.07	67.35	56.87	65.88
0.0	80	57.77	76.88
-0.07	80	59.03	77.05
-0.13	80	46.13	75.24
-0.2	80	47.38	75.42
-0.26	52.62	30.37	49.49
-0.33	50.51	31.0	47.77
-0.39	52.62	23.53	48.53
-0.46	52.62	20.81	48.15
-0.52	52.62	22.08	48.32
-0.46	50.51	23.84	46.76
-0.39	50.51	26.04	47.07
-0.33	50.51	28.39	47.4
-0.26	52.62	31.41	49.64
-0.2	52.62	35.06	50.15
-0.13	52.62	23.03	48.46
-0.07	50.51	21.05	46.37
0.0	75.77	20.86	68.05
0.07	54.72	22.57	50.2
0.13	80	24.5	72.2
0.2	58.93	26.59	54.39
0.26	80	29.17	72.86
0.33	69.45	32.29	64.23
0.39	69.45	33.56	64.41
0.46	67.35	35.06	62.81
0.52	67.35	39.1	63.38
0.59	80	44.55	75.02
0.65	80	50.32	75.83
0.72	50.51	58.39	51.62
0.79	48.41	20.88	44.54
0.85	44.2	21.13	40.96
0.92	42.09	22.74	39.37
0.98	35.78	24.76	34.23
1.05	37.88	23.29	35.83
1.11	35.78	23.0	33.98
1.18	33.67	21.03	31.9
1.24	35.78	22.41	33.9
1.31	35.78	24.05	34.13
1.37	37.88	24.15	35.95
1.44	39.99	21.38	37.37
1.51	35.78	20.76	33.67
1.57	58.93	19.26	53.35
1.64	37.88	19.43	35.29
1.7	16.84	18.38	17.05
1.77	18.94	18.09	18.82
1.83	16.84	17.58	16.94
1.9	16.84	17.51	16.93
1.96	18.94	16.9	18.65
2.03	16.84	16.93	16.85
2.09	18.94	16.81	18.64
2.16	16.84	16.93	16.85
2.23	16.84	16.91	16.85
2.29	16.84	16.83	16.84
2.36	18.94	17.2	18.7
2.42	18.94	17.58	18.75
2.49	16.84	17.85	16.98
2.55	16.84	18.32	17.05
2.62	18.94	18.83	18.93
2.68	16.84	19.75	17.25
2.75	16.84	20.27	17.32
2.81	16.84	20.98	17.42
2.88	31.57	22.0	30.22
2.95	31.57	23.71	30.47
3.01	33.67	25.03	32.46
3.08	33.67	27.61	32.82
3.14	50.51	29.44	47.55
3.21	50.51	32.62	48.0
3.27	35.78	36.07	35.82
3.34	42.09	40.42	41.86
3.4	33.67	45.03	35.27
3.47	58.93	42.79	56.66
3.53	48.41	40.75	47.33
3.6	52.62	44.07	51.42
3.67	27.36	30.56	27.81
3.6	27.36	32.51	28.08
3.53	27.36	11.74	25.17
3.47	27.36	10.98	25.06
3.4	25.26	11.52	23.33
3.34	29.47	12.1	27.02
3.27	46.3	12.74	41.58
3.21	46.3	13.42	41.68
3.14	42.09	14.12	38.16
3.08	35.78	14.91	32.85
3.01	33.67	15.85	31.17
2.95	31.57	16.86	29.5
2.88	48.41	17.94	44.13
2.81	52.62	19.24	47.92
2.75	33.67	20.57	31.83
2.68	33.67	22.24	32.07
2.62	31.57	23.41	30.42
2.55	33.67	23.2	32.2
2.49	16.84	21.3	17.46
2.42	18.94	21.03	19.24
2.36	18.94	19.54	19.03
2.29	16.84	19.32	17.19
2.23	18.94	18.28	18.85
2.16	18.94	18.2	18.84
2.09	16.84	17.53	16.93
2.03	18.94	17.15	18.69
1.96	16.84	16.98	16.86
1.9	16.84	17.0	16.86
1.83	16.84	16.8	16.83
1.77	16.84	16.9	16.85
1.7	18.94	16.93	18.66
1.64	18.94	17.08	18.68
1.57	16.84	17.32	16.9
1.51	16.84	17.41	16.92
1.44	16.84	17.8	16.97
1.37	16.84	18.61	17.09
1.31	18.94	18.95	18.94
1.24	37.88	20.02	35.37
1.18	33.67	20.29	31.79
1.11	33.67	21.84	32.01
1.05	35.78	22.91	33.97
0.98	35.78	24.31	34.17
0.92	33.67	25.61	32.54
0.85	33.67	28.1	32.89
0.79	31.57	29.9	31.33
0.72	33.67	27.21	32.77
0.65	31.57	27.69	31.02
0.59	29.47	30.37	29.59
0.52	29.47	32.94	29.95
0.46	31.57	33.34	31.82
0.39	29.47	33.28	30.0
0.33	29.47	33.51	30.03
0.26	31.57	32.83	31.75
0.2	31.57	32.78	31.74
0.13	31.57	31.87	31.61
0.07	31.57	32.72	31.73
0.0	31.57	16.8	29.49
-0.07	31.57	17.94	29.65
-0.13	31.57	11.39	28.73
-0.2	33.67	8.79	30.18
-0.26	33.67	8.97	30.2
-0.33	35.78	9.37	32.07
-0.39	52.62	9.76	46.59
-0.46	50.51	10.19	44.84
-0.52	52.62	10.64	46.72
-0.46	52.62	11.09	46.78
-0.39	48.41	11.67	43.24
-0.33	50.51	12.18	45.12
-0.26	52.62	12.81	47.02
-0.2	50.51	13.51	45.31
-0.13	52.62	14.27	47.23
-0.07	33.67	15.11	31.06
0.0	42.09	15.97	38.42
0.07	35.78	16.72	33.1
0.13	33.67	9.14	30.23
0.2	33.67	8.37	30.12
0.26	31.57	8.38	28.31
0.33	31.57	8.73	28.36
0.39	31.57	9.07	28.41
0.46	31.57	9.46	28.46
0.52	31.57	9.84	28.51
0.59	31.57	10.28	28.58
0.65	31.57	10.71	28.64
0.72	33.67	11.18	30.51
0.79	29.47	11.73	26.97
0.85	31.57	12.36	28.87
0.92	31.57	12.93	28.95
0.98	31.57	13.64	29.05
1.05	31.57	14.38	29.15
1.11	29.47	15.27	27.47
1.18	33.67	16.11	31.21
1.24	33.67	17.11	31.35
1.31	35.78	18.3	33.32
1.37	35.78	19.6	33.51
1.44	33.67	20.93	31.88
1.51	35.78	21.74	33.81
1.57	18.94	19.56	19.03
1.64	16.84	19.67	17.23
1.7	16.84	18.32	17.05
1.77	16.84	18.09	17.01
1.83	18.94	17.6	18.75
1.9	18.94	17.49	18.74
1.96	18.94	17.08	18.68
2.03	18.94	17.0	18.67
2.09	18.94	16.81	18.64
2.16	18.94	16.8	18.64
2.23	18.94	16.8	18.64
2.29	16.84	16.78	16.83
2.36	16.84	17.23	16.89
2.42	16.84	17.64	16.95
2.49	18.94	17.92	18.8
2.55	18.94	18.55	18.89
2.62	16.84	18.67	17.09
2.68	18.94	19.62	19.04
2.75	16.84	20.22	17.31
2.81	16.84	21.13	17.44
2.88	31.57	21.76	30.19
2.95	31.57	23.53	30.44
3.01	33.67	25.1	32.47
3.08	33.67	27.37	32.79
3.14	50.51	29.49	47.56
3.21	48.41	32.67	46.2
3.27	42.09	36.14	41.26
3.34	35.78	40.42	36.43
3.4	35.78	45.42	37.13
3.47	35.78	42.79	36.76
3.53	46.3	38.65	45.23
3.6	50.51	42.88	49.44
3.67	25.26	34.93	26.62
3.6	25.26	33.11	26.36
3.53	27.36	11.71	25.16
3.47	39.99	10.58	35.86
3.4	27.36	11.08	25.07
3.34	27.36	11.65	25.15
3.27	50.51	12.25	45.13
3.21	48.41	12.88	43.41
3.14	35.78	13.55	32.66
3.08	35.78	14.24	32.75
3.01	42.09	15.11	38.3
2.95	42.09	16.05	38.43
2.88	52.62	17.01	47.61
2.81	48.41	18.19	44.16
2.75	31.57	19.41	29.86
2.68	33.67	20.91	31.88
2.62	31.57	22.44	30.29
2.55	33.67	23.18	32.2
2.49	16.84	21.74	17.53
2.42	16.84	21.03	17.43
2.36	18.94	19.8	19.06
2.29	16.84	19.39	17.2
2.23	18.94	18.36	18.86
2.16	18.94	18.26	18.85
2.09	16.84	17.55	16.94
2.03	16.84	17.22	16.89
1.96	16.84	17.05	16.87
1.9	18.94	17.0	18.67
1.83	18.94	16.86	18.65
1.77	16.84	16.93	16.85
1.7	18.94	17.01	18.67
1.64	18.94	17.13	18.69
1.57	18.94	17.42	18.73
1.51	18.94	17.41	18.73
1.44	16.84	17.83	16.98
1.37	16.84	18.59	17.08
1.31	18.94	19.05	18.96
1.24	18.94	20.02	19.09
1.18	37.88	20.64	35.46
1.11	35.78	22.14	33.86
1.05	35.78	23.06	33.99
0.98	35.78	24.4	34.18
0.92	31.57	25.72	30.75
0.85	31.57	28.18	31.09
0.79	31.57	29.44	31.27
0.72	31.57	27.05	30.93
0.65	31.57	27.41	30.98
0.59	29.47	30.42	29.6
0.52	29.47	32.83	29.94
0.46	31.57	33.28	31.81
0.39	29.47	33.22	29.99
0.33	29.47	33.45	30.03
0.26	31.57	32.35	31.68
0.2	29.47	33.06	29.97
0.13	31.57	31.87	31.61
0.07	31.57	32.72	31.73
0.0	29.47	18.04	27.86
-0.07	29.47	19.22	28.02
-0.13	31.57	9.36	28.45
-0.2	35.78	8.46	31.94
-0.26	42.09	8.59	37.38
-0.33	35.78	8.95	32.01
-0.39	52.62	9.31	46.53
-0.46	52.62	9.73	46.59
-0.52	52.62	10.13	46.64
-0.46	52.62	10.57	46.71
-0.39	50.51	11.02	44.96
-0.33	50.51	11.52	45.03
-0.26	52.62	12.13	46.93
-0.2	50.51	12.8	45.21
-0.13	50.51	13.41	45.3
-0.07	35.78	14.19	32.74
0.0	42.09	14.88	38.27
0.07	33.67	15.87	31.17
0.13	33.67	8.79	30.18
0.2	31.57	8.26	28.29
0.26	29.47	8.46	26.51
0.33	31.57	8.82	28.37
0.39	31.57	9.13	28.42
0.46	31.57	9.57	28.48
0.52	31.57	9.94	28.53
0.59	29.47	10.36	26.78
0.65	31.57	10.83	28.65
0.72	31.57	11.3	28.72
0.79	33.67	11.86	30.61
0.85	29.47	12.48	27.08
0.92	31.57	13.09	28.97
0.98	31.57	13.82	29.08
1.05	31.57	14.57	29.18
1.11	31.57	15.44	29.3
1.18	33.67	16.32	31.24
1.24	33.67	17.32	31.38
1.31	35.78	18.51	33.35
1.37	33.67	19.95	31.75
1.44	37.88	21.2	35.54
1.51	39.99	21.79	37.43
1.57	18.94	19.84	19.07
1.64	18.94	19.58	19.03
1.7	16.84	18.63	17.09
1.77	16.84	18.11	17.02
1.83	18.94	17.62	18.76
1.9	18.94	17.48	18.74
1.96	18.94	17.06	18.68
2.03	16.84	17.01	16.86
2.09	18.94	16.81	18.64
2.16	18.94	16.91	18.66
2.23	16.84	16.9	16.85
2.29	16.84	16.83	16.84
2.36	18.94	17.35	18.72
2.42	16.84	17.67	16.95
2.49	16.84	17.89	16.99
2.55	18.94	18.41	18.87
2.62	18.94	18.69	18.91
2.68	16.84	19.75	17.25
2.75	16.84	20.2	17.31
2.81	18.94	21.1	19.25
2.88	33.67	21.92	32.02
2.95	31.57	23.65	30.46
3.01	33.67	25.06	32.46
3.08	33.67	27.25	32.77
3.14	44.2	29.62	42.15
3.21	33.67	32.62	33.53
3.27	33.67	36.4	34.06
3.34	33.67	40.83	34.68
3.4	46.3	45.62	46.21
3.47	58.93	43.42	56.75
3.53	52.62	40.42	50.9
3.6	50.51	44.83	49.71
3.67	31.57	28.43	31.13
3.6	42.09	31.25	40.57
3.53	25.26	10.99	23.25
3.47	52.62	10.49	46.69
3.4	27.36	10.97	25.06
3.34	29.47	11.53	26.94
3.27	52.62	12.09	46.92
3.21	50.51	12.72	45.2
3.14	42.09	13.38	38.06
3.08	35.78	14.08	32.73
3.01	33.67	14.97	31.05
2.95	33.67	15.84	31.17
2.88	48.41	16.8	43.96
2.81	46.3	17.98	42.32
2.75	31.57	19.07	29.81
2.68	33.67	20.57	31.83
2.62	33.67	22.03	32.04
2.55	33.67	23.12	32.19
2.49	16.84	21.4	17.48
2.42	16.84	21.03	17.43
2.36	18.94	19.56	19.03
2.29	16.84	19.41	17.2
2.23	16.84	18.15	17.02
2.16	18.94	18.2	18.84
2.09	18.94	17.37	18.72
2.03	18.94	17.16	18.69
1.96	16.84	16.85	16.84
1.9	16.84	17.0	16.86
1.83	18.94	16.83	18.65
1.77	16.84	16.93	16.85
1.7	18.94	16.91	18.66
1.64	16.84	17.15	16.88
1.57	18.94	17.42	18.73
1.51	18.94	17.25	18.7
1.44	16.84	17.8	16.97
1.37	21.05	18.57	20.7
1.31	18.94	19.07	18.96
1.24	29.47	20.02	28.14
1.18	35.78	20.6	33.64
1.11	35.78	22.08	33.85
1.05	33.67	22.91	32.16
0.98	33.67	24.37	32.37
0.92	33.67	25.9	32.58
0.85	35.78	28.18	34.71
0.79	33.67	28.65	32.97
0.72	33.67	27.49	32.8
0.65	33.67	27.93	32.87
0.59	33.67	30.71	33.26
0.52	31.57	33.11	31.79
0.46	33.67	33.39	33.64
0.39	33.67	33.28	33.62
0.33	31.57	33.68	31.87
0.26	33.67	33.06	33.59
0.2	31.57	33.56	31.85
0.13	31.57	32.4	31.69
0.07	31.57	32.72	31.73
0.0	33.67	21.05	31.9
-0.07	33.67	16.41	31.25
-0.13	35.78	9.48	32.08
-0.2	80	8.73	69.98
-0.26	35.78	9.05	32.02
-0.33	33.67	9.46	30.27
-0.39	50.51	9.84	44.8
-0.46	52.62	10.29	46.67
-0.52	52.62	10.72	46.73
-0.46	50.51	11.2	44.99
-0.39	50.51	11.78	45.07
-0.33	50.51	12.31	45.14
-0.26	50.51	13.01	45.24
-0.2	52.62	13.7	47.15
-0.13	52.62	14.43	47.25
-0.07	52.62	15.28	47.37
0.0	33.67	16.2	31.22
0.07	35.78	17.25	33.17
0.13	35.78	9.67	32.11
0.2	35.78	8.26	31.91
0.26	33.67	8.45	30.13
0.33	31.57	8.78	28.37
0.39	33.67	9.14	30.23
0.46	33.67	9.52	30.28
0.52	31.57	9.89	28.52
0.59	31.57	10.35	28.59
0.65	31.57	10.79	28.65
0.72	31.57	11.27	28.72
0.79	31.57	11.83	28.8
0.85	31.57	12.44	28.88
0.92	33.67	13.05	30.78
0.98	33.67	13.78	30.88
1.05	33.67	14.48	30.98
1.11	31.57	15.38	29.29
1.18	35.78	16.23	33.03
1.24	35.78	17.22	33.17
1.31	35.78	18.49	33.35
1.37	37.88	19.77	35.34
1.44	37.88	21.28	35.55
1.51	35.78	21.76	33.81
1.57	18.94	19.93	19.08
1.64	18.94	19.69	19.05
1.7	18.94	18.45	18.87
1.77	18.94	18.09	18.82
1.83	18.94	17.58	18.75
1.9	18.94	17.44	18.73
1.96	18.94	17.01	18.67
2.03	18.94	16.98	18.67
2.09	16.84	16.81	16.83
2.16	16.84	16.91	16.85
2.23	16.84	16.85	16.84
2.29	16.84	16.73	16.82
2.36	16.84	17.27	16.9
2.42	18.94	17.67	18.76
2.49	18.94	17.91	18.8
2.55	18.94	18.4	18.87
2.62	18.94	18.75	18.91
2.68	18.94	19.75	19.06
2.75	16.84	20.31	17.33
2.81	16.84	21.05	17.43
2.88	29.47	21.95	28.41
2.95	31.57	23.68	30.46
3.01	29.47	25.1	28.85
3.08	31.57	27.37	30.98
3.14	42.09	29.58	40.33
3.21	35.78	32.94	35.38
3.27	33.67	36.27	34.04
3.34	35.78	40.75	36.48
3.4	56.83	45.62	55.25
3.47	56.83	42.18	54.77
3.53	48.41	41.83	47.48
3.6	46.3	45.03	46.12
3.67	29.47	27.81	29.23
3.6	29.47	30.81	29.65
3.53	27.36	11.27	25.1
3.47	50.51	10.87	44.94
3.4	29.47	11.38	26.92
3.34	31.57	11.98	28.82
3.27	48.41	12.56	43.37
3.21	48.41	13.26	43.47
3.14	42.09	13.95	38.14
3.08	35.78	14.74	32.82
3.01	33.67	15.56	31.13
2.95	33.67	16.57	31.27
2.88	33.67	17.74	31.44
2.81	35.78	18.85	33.4
2.75	33.67	20.25	31.79
2.68	31.57	21.84	30.2
2.62	31.57	23.41	30.42
2.55	31.57	23.23	30.4
2.49	18.94	21.18	19.26
2.42	18.94	21.03	19.24
2.36	18.94	19.51	19.02
2.29	18.94	19.39	19.0
2.23	16.84	18.2	17.03
2.16	16.84	18.3	17.04
2.09	16.84	17.46	16.92
2.03	16.84	17.15	16.88
1.96	16.84	17.08	16.87
1.9	16.84	16.96	16.85
1.83	16.84	16.83	16.84
1.77	16.84	16.95	16.85
1.7	18.94	16.88	18.65
1.64	18.94	17.11	18.68
1.57	18.94	17.3	18.71
1.51	16.84	17.37	16.91
1.44	16.84	17.87	16.98
1.37	18.94	18.67	18.9
1.31	18.94	18.79	18.92
1.24	37.88	19.93	35.36
1.18	37.88	20.38	35.42
1.11	37.88	21.84	35.63
1.05	33.67	22.89	32.16
0.98	35.78	24.31	34.17
0.92	33.67	25.54	32.53
0.85	39.99	27.93	38.29
0.79	33.67	30.18	33.18
0.72	33.67	27.65	32.83
0.65	31.57	28.1	31.08
0.59	35.78	30.9	35.09
0.52	33.67	33.34	33.63
0.46	31.57	33.28	31.81
0.39	31.57	33.68	31.87
0.33	33.67	33.51	33.65
0.26	31.57	33.11	31.79
0.2	31.57	33.56	31.85
0.13	31.57	32.56	31.71
0.07	31.57	32.62	31.72
0.0	33.67	16.52	31.26
-0.07	33.67	16.59	31.27
-0.13	61.04	9.7	53.82
-0.2	35.78	8.67	31.97
-0.26	35.78	8.99	32.01
-0.33	35.78	9.39	32.07
-0.39	50.51	9.77	44.79
-0.46	52.62	10.21	46.66
-0.52	52.62	10.66	46.72
-0.46	52.62	11.12	46.78
-0.39	50.51	11.67	45.05
-0.33	52.62	12.21	46.94
-0.26	50.51	12.87	45.22
-0.2	52.62	13.56	47.13
-0.13	50.51	14.33	45.43
-0.07	50.51	15.15	45.54
0.0	33.67	15.96	31.18
0.07	33.67	17.03	31.33
0.13	58.93	9.64	52.0
0.2	33.67	8.28	30.11
0.26	31.57	8.44	28.32
0.33	33.67	8.8	30.18
0.39	31.57	9.14	28.42
0.46	31.57	9.55	28.48
0.52	31.57	9.91	28.53
0.59	31.57	10.37	28.59
0.65	31.57	10.82	28.65
0.72	33.67	11.28	30.53
0.79	31.57	11.85	28.8
0.85	31.57	12.46	28.88
0.92	33.67	13.07	30.78
0.98	33.67	13.79	30.88
1.05	33.67	14.48	30.98
1.11	31.57	15.42	29.3
1.18	33.67	16.26	31.23
1.24	33.67	17.3	31.37
1.31	33.67	18.53	31.55
1.37	37.88	19.86	35.35
1.44	35.78	21.18	33.73
1.51	33.67	21.71	31.99
1.57	18.94	19.88	19.07
1.64	18.94	19.69	19.05
1.7	16.84	18.36	17.05
1.77	16.84	18.11	17.02
1.83	18.94	17.37	18.72
1.9	18.94	17.49	18.74
1.96	18.94	16.86	18.65
2.03	18.94	17.03	18.67
2.09	18.94	16.81	18.64
2.16	16.84	16.95	16.85
2.23	16.84	16.9	16.85
2.29	16.84	16.78	16.83
2.36	18.94	17.3	18.71
2.42	16.84	17.74	16.96
2.49	18.94	17.89	18.79
2.55	18.94	18.28	18.85
2.62	18.94	18.85	18.93
2.68	16.84	19.88	17.27
2.75	16.84	20.27	17.32
2.81	16.84	21.13	17.44
2.88	31.57	22.05	30.23
2.95	31.57	23.84	30.48
3.01	31.57	25.27	30.68
3.08	31.57	27.53	31.0
3.14	50.51	29.44	47.55
3.21	42.09	32.67	40.77
3.27	35.78	36.47	35.88
3.34	35.78	40.18	36.4
3.4	44.2	44.26	44.21
3.47	52.62	43.7	51.36
3.53	50.51	40.58	49.12
3.6	50.51	43.98	49.59
3.67	39.99	31.25	38.76
3.6	31.57	32.67	31.72
3.53	27.36	11.82	25.18
3.47	52.62	10.99	46.76
3.4	31.57	11.52	28.75
3.34	29.47	12.12	27.03
3.27	48.41	12.72	43.39
3.21	50.51	13.42	45.3
3.14	33.67	14.14	30.93
3.08	35.78	14.92	32.85
3.01	33.67	15.85	31.17
2.95	33.67	16.86	31.31
2.88	52.62	17.92	47.74
2.81	50.51	19.39	46.14
2.75	31.57	20.52	30.02
2.68	31.57	22.41	30.28
2.62	33.67	23.62	32.26
2.55	33.67	23.23	32.21
2.49	16.84	21.45	17.49
2.42	18.94	21.23	19.26
2.36	18.94	19.47	19.02
2.29	18.94	19.51	19.02
2.23	16.84	18.34	17.05
2.16	16.84	18.17	17.02
2.09	18.94	17.56	18.75
2.03	16.84	17.13	16.88
1.96	16.84	17.08	16.87
1.9	16.84	17.0	16.86
1.83	16.84	16.83	16.84
1.77	18.94	16.96	18.66
1.7	16.84	16.96	16.85
1.64	16.84	17.18	16.89
1.57	18.94	17.32	18.71
1.51	18.94	17.35	18.72
1.44	16.84	17.82	16.97
1.37	16.84	18.59	17.08
1.31	27.36	18.99	26.18
1.24	39.99	20.09	37.19
1.18	35.78	20.6	33.64
1.11	33.67	22.03	32.04
1.05	33.67	22.86	32.15
0.98	35.78	24.28	34.16
0.92	35.78	25.58	34.35
0.85	35.78	28.06	34.69
0.79	33.67	30.23	33.19
0.72	35.78	27.85	34.66
0.65	33.67	28.52	32.95
0.59	33.67	31.46	33.36
0.52	33.67	33.51	33.65
0.46	33.67	33.28	33.62
0.39	31.57	33.62	31.86
0.33	33.67	34.03	33.72
0.26	33.67	33.22	33.61
0.2	33.67	33.62	33.67
0.13	33.67	32.56	33.52
0.07	35.78	33.62	35.48
0.0	35.78	11.97	32.43
-0.07	79.98	10.4	70.2
-0.13	80	9.73	70.12
-0.2	80	10.16	70.18
-0.26	52.62	10.59	46.71
-0.33	50.51	11.13	44.98
-0.39	52.62	11.67	46.86
-0.46	50.51	12.2	45.13
-0.52	50.51	12.83	45.21
